Tanggal;RR
01-01-2020;145,3
02-01-2020;58,8
03-01-2020;
04-01-2020;2,5
05-01-2020;0,2
06-01-2020;18,2
07-01-2020;15
08-01-2020;2,8
09-01-2020;28,7
10-01-2020;23,6
11-01-2020;20,4
12-01-2020;4,3
13-01-2020;1,5
14-01-2020;0,5
15-01-2020;33,8
16-01-2020;0
17-01-2020;8888
18-01-2020;78,5
19-01-2020;3,8
20-01-2020;
21-01-2020;2,4
22-01-2020;0,3
23-01-2020;74
24-01-2020;7,8
25-01-2020;123,7
26-01-2020;7,4
27-01-2020;12,3
28-01-2020;4,2
29-01-2020;0
30-01-2020;22
31-01-2020;
01/02/2020;48,5
02/02/2020;128,9
03/02/2020;16,6
04/02/2020;20,9
05/02/2020;0,5
06/02/2020;6,6
07/02/2020;0,6
08/02/2020;125,2
09/02/2020;9
10/02/2020;18,6
11/02/2020;
12/02/2020;0
13/02/2020;
14/02/2020;
15/02/2020;4,7
16/02/2020;
17/02/2020;26,5
18/02/2020;7,2
19/02/2020;17,7
20/02/2020;31
21/02/2020;57
22/02/2020;56,8
23/02/2020;125,7
24/02/2020;6,6
25/02/2020;277,5
26/02/2020;3
27/02/2020;22
28/02/2020;31,5
29/02/2020;0,6
01/03/2020;12
02/03/2020;63,6
03/03/2020;8888
04/03/2020;8888
05/03/2020;19,6
06/03/2020;2
07/03/2020;
08/03/2020;
09/03/2020;8888
10/03/2020;
11/03/2020;
12/03/2020;7,7
13/03/2020;29,2
14/03/2020;0
15/03/2020;2
16/03/2020;3,6
17/03/2020;4,8
18/03/2020;0,4
19/03/2020;0,2
20/03/2020;16
21/03/2020;10,8
22/03/2020;17,6
23/03/2020;22,5
24/03/2020;0,4
25/03/2020;0,3
26/03/2020;
27/03/2020;0,9
28/03/2020;0
29/03/2020;0
30/03/2020;0
31/03/2020;7,1
01/04/2020;21,5
02/04/2020;0
03/04/2020;0,1
04/04/2020;5,5
05/04/2020;8888
06/04/2020;0
07/04/2020;30,6
08/04/2020;
09/04/2020;0,3
10/04/2020;8888
11/04/2020;13,8
12/04/2020;
13/04/2020;14,5
14/04/2020;72
15/04/2020;5,4
16/04/2020;
17/04/2020;
18/04/2020;0
19/04/2020;
20/04/2020;0
21/04/2020;
22/04/2020;
23/04/2020;
24/04/2020;
25/04/2020;
26/04/2020;
27/04/2020;13,5
28/04/2020;1,2
29/04/2020;4,4
30/04/2020;
01/05/2020;
02/05/2020;8888
03/05/2020;1
04/05/2020;
05/05/2020;1,6
06/05/2020;
07/05/2020;0,2
08/05/2020;
09/05/2020;
10/05/2020;1
11/05/2020;0
12/05/2020;
13/05/2020;3,8
14/05/2020;
15/05/2020;
16/05/2020;
17/05/2020;0
18/05/2020;
19/05/2020;12,8
20/05/2020;
21/05/2020;29
22/05/2020;0
23/05/2020;0
